site_id,site_name,township,lat,lon,building_type,collapse_pattern,est_trapped,priority_score,road_type,status,reported_at,scout_notes
S0001,Chanayethazan Site 1,Mahaaungmye,21.8561,96.036796,reinforced_concrete,v-shape,6,0.56,unpaved,awaiting_rescue,2026-07-04T04:48:03.410948+00:00,"Multi-story reinforced concrete building, v-shape collapse. Voices heard from rubble. 6 people believed inside. Dust and debris blocking main road."
S0002,Chanmyathazi Site 2,Singu,21.959958,95.979024,reinforced_concrete,v-shape,4,0.46,paved,awaiting_rescue,2026-07-04T09:05:03.410948+00:00,"Multi-story reinforced concrete building, v-shape collapse. Voices heard from rubble. 4 people believed inside. Dust and debris blocking main road."
S0003,Singu Site 3,Sagaing,21.910772,96.022913,timber,pancake,2,0.57,unpaved,awaiting_rescue,2026-07-04T07:00:03.410948+00:00,"Multi-story timber building, pancake collapse. Voices heard from rubble. 2 people believed inside. Dust and debris blocking main road."
S0004,Chanayethazan Site 4,Kyaukse,22.061095,96.06086,brick_masonry,cantilever,5,0.36,paved,awaiting_rescue,2026-07-04T08:59:03.410948+00:00,"Multi-story brick masonry building, cantilever collapse. Voices heard from rubble. 5 people believed inside. Dust and debris blocking main road."
S0005,Pyigyidagun Site 5,Kyaukse,21.913262,95.991406,reinforced_concrete,pancake,1,0.58,paved,awaiting_rescue,2026-07-04T07:10:03.410948+00:00,"Partial pancake collapse of reinforced concrete apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0006,Singu Site 6,Tada-U,22.053212,96.123517,brick_masonry,pancake,7,0.66,paved,awaiting_rescue,2026-07-04T07:18:03.410948+00:00,"Residential brick masonry home, pancake collapse. Family of 7 not evacuated. Water pipe burst flooding the basement void."
S0007,Singu Site 7,Amarapura,21.920807,96.15148,reinforced_concrete,cantilever,9,0.36,paved,awaiting_rescue,2026-07-04T04:37:03.410948+00:00,"Market hall reinforced concrete, cantilever failure of roof. Vendors estimate 9 people under the structure. Aftershock risk, wall leaning."
S0008,Patheingyi Site 8,Myitnge,21.958634,96.178535,brick_masonry,pancake,1,0.59,paved,awaiting_rescue,2026-07-04T08:39:03.410948+00:00,"Market hall brick masonry, pancake failure of roof. Vendors estimate 1 people under the structure. Aftershock risk, wall leaning."
S0009,Myitnge Site 9,Mahaaungmye,21.898113,96.204773,brick_masonry,pancake,1,0.52,unpaved,awaiting_rescue,2026-07-04T05:25:03.410948+00:00,School building (brick masonry) collapsed in pancake configuration. Estimated 1 children and staff unaccounted for. Access road cracked.
S0010,Aungmyethazan Site 10,Kyaukse,21.979533,96.081672,reinforced_concrete,v-shape,17,0.74,unpaved,awaiting_rescue,2026-07-04T05:02:03.410948+00:00,"Market hall reinforced concrete, v-shape failure of roof. Vendors estimate 17 people under the structure. Aftershock risk, wall leaning."
S0011,Kyaukse Site 11,Aungmyethazan,21.914151,96.009625,reinforced_concrete,v-shape,7,0.59,paved,awaiting_rescue,2026-07-04T05:35:03.410948+00:00,"Multi-story reinforced concrete building, v-shape collapse. Voices heard from rubble. 7 people believed inside. Dust and debris blocking main road."
S0012,Chanayethazan Site 12,Mahaaungmye,21.965013,95.826599,brick_masonry,pancake,18,0.99,unpaved,awaiting_rescue,2026-07-04T04:04:03.410948+00:00,School building (brick masonry) collapsed in pancake configuration. Estimated 18 children and staff unaccounted for. Access road cracked.
S0013,Tada-U Site 13,Chanmyathazi,22.265872,96.378259,brick_masonry,pancake,12,0.85,unpaved,awaiting_rescue,2026-07-04T04:47:03.410948+00:00,"Multi-story brick masonry building, pancake collapse. Voices heard from rubble. 12 people believed inside. Dust and debris blocking main road."
S0014,Pyigyidagun Site 14,Singu,21.953456,96.100679,reinforced_concrete,cantilever,3,0.27,unpaved,awaiting_rescue,2026-07-04T08:40:03.410948+00:00,"Residential reinforced concrete home, cantilever collapse. Family of 3 not evacuated. Water pipe burst flooding the basement void."
S0015,Pyigyidagun Site 15,Myitnge,22.065859,96.123945,brick_masonry,lean-to,1,0.38,paved,awaiting_rescue,2026-07-04T06:57:03.410948+00:00,"Market hall brick masonry, lean-to failure of roof. Vendors estimate 1 people under the structure. Aftershock risk, wall leaning."
S0016,Pyigyidagun Site 16,Tada-U,21.866042,96.11958,reinforced_concrete,cantilever,11,0.35,paved,awaiting_rescue,2026-07-04T06:05:03.410948+00:00,School building (reinforced concrete) collapsed in cantilever configuration. Estimated 11 children and staff unaccounted for. Access road cracked.
S0017,Patheingyi Site 17,Patheingyi,22.052965,96.105617,brick_masonry,v-shape,9,0.55,unpaved,awaiting_rescue,2026-07-04T04:53:03.410948+00:00,"Partial v-shape collapse of brick masonry apartment block. Around 9 trapped, tapping sounds confirmed on second floor slab."
S0018,Tada-U Site 18,Sagaing,22.00833,96.129406,mixed,pancake,3,0.59,paved,awaiting_rescue,2026-07-04T04:59:03.410948+00:00,"mixed structure fully down, pancake pattern. Neighbors report 3 residents missing. Strong smell of gas nearby."
S0019,Chanayethazan Site 19,Mahaaungmye,21.890365,96.080411,steel_frame,pancake,9,0.78,paved,awaiting_rescue,2026-07-04T04:54:03.410948+00:00,"Market hall steel frame, pancake failure of roof. Vendors estimate 9 people under the structure. Aftershock risk, wall leaning."
S0020,Aungmyethazan Site 20,Sagaing,22.241526,95.798177,brick_masonry,pancake,3,0.56,paved,awaiting_rescue,2026-07-04T07:18:03.410948+00:00,School building (brick masonry) collapsed in pancake configuration. Estimated 3 children and staff unaccounted for. Access road cracked.
S0021,Singu Site 21,Tada-U,22.001306,96.14269,timber,v-shape,4,0.46,damaged,awaiting_rescue,2026-07-04T05:55:03.410948+00:00,"Market hall timber, v-shape failure of roof. Vendors estimate 4 people under the structure. Aftershock risk, wall leaning."
S0022,Mahaaungmye Site 22,Myitnge,21.918498,95.984512,brick_masonry,cantilever,4,0.27,paved,awaiting_rescue,2026-07-04T08:24:03.410948+00:00,"brick masonry structure fully down, cantilever pattern. Neighbors report 4 residents missing. Strong smell of gas nearby."
S0023,Myitnge Site 23,Tada-U,22.037031,96.066729,mixed,v-shape,5,0.46,paved,awaiting_rescue,2026-07-04T04:45:03.410948+00:00,"Market hall mixed, v-shape failure of roof. Vendors estimate 5 people under the structure. Aftershock risk, wall leaning."
S0024,Chanayethazan Site 24,Sagaing,21.907074,96.12856,brick_masonry,lean-to,1,0.42,paved,awaiting_rescue,2026-07-04T07:58:03.410948+00:00,"Multi-story brick masonry building, lean-to collapse. Voices heard from rubble. 1 people believed inside. Dust and debris blocking main road."
S0025,Aungmyethazan Site 25,Chanmyathazi,21.97242,95.996099,brick_masonry,lean-to,1,0.39,damaged,awaiting_rescue,2026-07-04T04:39:03.410948+00:00,"Partial lean-to collapse of brick masonry apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0026,Mahaaungmye Site 26,Chanmyathazi,21.968144,96.043187,mixed,cantilever,4,0.33,paved,awaiting_rescue,2026-07-04T08:47:03.410948+00:00,"Residential mixed home, cantilever collapse. Family of 4 not evacuated. Water pipe burst flooding the basement void."
S0027,Chanayethazan Site 27,Mahaaungmye,22.043062,96.14546,reinforced_concrete,lean-to,1,0.39,paved,awaiting_rescue,2026-07-04T06:19:03.410948+00:00,"Partial lean-to collapse of reinforced concrete apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0028,Tada-U Site 28,Chanayethazan,22.03001,95.983104,brick_masonry,pancake,23,1.0,unpaved,awaiting_rescue,2026-07-04T07:50:03.410948+00:00,School building (brick masonry) collapsed in pancake configuration. Estimated 23 children and staff unaccounted for. Access road cracked.
S0029,Amarapura Site 29,Chanayethazan,22.055027,96.13351,reinforced_concrete,pancake,2,0.59,paved,awaiting_rescue,2026-07-04T07:44:03.410948+00:00,"Partial pancake collapse of reinforced concrete apartment block. Around 2 trapped, tapping sounds confirmed on second floor slab."
S0030,Chanmyathazi Site 30,Chanmyathazi,21.723727,95.87073,reinforced_concrete,v-shape,12,0.62,damaged,awaiting_rescue,2026-07-04T05:23:03.410948+00:00,"reinforced concrete structure fully down, v-shape pattern. Neighbors report 12 residents missing. Strong smell of gas nearby."
S0031,Mahaaungmye Site 31,Patheingyi,21.573492,96.295346,brick_masonry,cantilever,9,0.41,unpaved,awaiting_rescue,2026-07-04T06:11:03.410948+00:00,"Residential brick masonry home, cantilever collapse. Family of 9 not evacuated. Water pipe burst flooding the basement void."
S0032,Pyigyidagun Site 32,Patheingyi,22.249551,95.847107,steel_frame,lean-to,2,0.45,unpaved,awaiting_rescue,2026-07-04T06:00:03.410948+00:00,"Residential steel frame home, lean-to collapse. Family of 2 not evacuated. Water pipe burst flooding the basement void."
S0033,Mahaaungmye Site 33,Aungmyethazan,22.037579,96.197647,reinforced_concrete,v-shape,3,0.52,paved,awaiting_rescue,2026-07-04T08:38:03.410948+00:00,"Multi-story reinforced concrete building, v-shape collapse. Voices heard from rubble. 3 people believed inside. Dust and debris blocking main road."
S0034,Patheingyi Site 34,Myitnge,22.058807,96.034573,reinforced_concrete,lean-to,7,0.49,damaged,awaiting_rescue,2026-07-04T09:14:03.410948+00:00,"Multi-story reinforced concrete building, lean-to collapse. Voices heard from rubble. 7 people believed inside. Dust and debris blocking main road."
S0035,Kyaukse Site 35,Amarapura,21.860289,96.074234,brick_masonry,cantilever,6,0.38,paved,awaiting_rescue,2026-07-04T05:44:03.410948+00:00,"Multi-story brick masonry building, cantilever collapse. Voices heard from rubble. 6 people believed inside. Dust and debris blocking main road."
S0036,Patheingyi Site 36,Kyaukse,21.994127,96.001829,mixed,lean-to,6,0.47,unpaved,awaiting_rescue,2026-07-04T06:35:03.410948+00:00,"mixed structure fully down, lean-to pattern. Neighbors report 6 residents missing. Strong smell of gas nearby."
S0037,Myitnge Site 37,Kyaukse,22.102571,96.440282,brick_masonry,lean-to,4,0.41,unpaved,awaiting_rescue,2026-07-04T06:30:03.410948+00:00,"Market hall brick masonry, lean-to failure of roof. Vendors estimate 4 people under the structure. Aftershock risk, wall leaning."
S0038,Kyaukse Site 38,Myitnge,21.946213,96.129932,brick_masonry,v-shape,19,0.78,paved,awaiting_rescue,2026-07-04T04:47:03.410948+00:00,"Residential brick masonry home, v-shape collapse. Family of 19 not evacuated. Water pipe burst flooding the basement void."
S0039,Mahaaungmye Site 39,Sagaing,22.027648,96.147487,timber,pancake,1,0.51,damaged,awaiting_rescue,2026-07-04T06:09:03.410948+00:00,"Market hall timber, pancake failure of roof. Vendors estimate 1 people under the structure. Aftershock risk, wall leaning."
S0040,Patheingyi Site 40,Pyigyidagun,21.986857,96.018059,timber,lean-to,1,0.42,damaged,awaiting_rescue,2026-07-04T04:06:03.410948+00:00,"Multi-story timber building, lean-to collapse. Voices heard from rubble. 1 people believed inside. Dust and debris blocking main road."
S0041,Myitnge Site 41,Amarapura,22.05782,96.093275,reinforced_concrete,pancake,11,0.78,unpaved,awaiting_rescue,2026-07-04T08:01:03.410948+00:00,"Market hall reinforced concrete, pancake failure of roof. Vendors estimate 11 people under the structure. Aftershock risk, wall leaning."
S0042,Sagaing Site 42,Aungmyethazan,22.276172,96.187315,timber,lean-to,10,0.56,unpaved,awaiting_rescue,2026-07-04T05:25:03.410948+00:00,School building (timber) collapsed in lean-to configuration. Estimated 10 children and staff unaccounted for. Access road cracked.
S0043,Amarapura Site 43,Tada-U,22.234365,95.894951,timber,lean-to,1,0.4,unpaved,awaiting_rescue,2026-07-04T06:30:03.410948+00:00,"Partial lean-to collapse of timber apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0044,Patheingyi Site 44,Patheingyi,21.883304,96.061907,reinforced_concrete,pancake,3,0.59,paved,awaiting_rescue,2026-07-04T08:02:03.410948+00:00,"reinforced concrete structure fully down, pancake pattern. Neighbors report 3 residents missing. Strong smell of gas nearby."
S0045,Patheingyi Site 45,Tada-U,22.026972,96.259565,steel_frame,v-shape,2,0.41,unpaved,awaiting_rescue,2026-07-04T07:04:03.410948+00:00,School building (steel frame) collapsed in v-shape configuration. Estimated 2 children and staff unaccounted for. Access road cracked.
S0046,Singu Site 46,Chanmyathazi,21.996205,96.17912,reinforced_concrete,pancake,3,0.56,unpaved,awaiting_rescue,2026-07-04T06:56:03.410948+00:00,School building (reinforced concrete) collapsed in pancake configuration. Estimated 3 children and staff unaccounted for. Access road cracked.
S0047,Sagaing Site 47,Chanmyathazi,22.298969,96.508212,brick_masonry,cantilever,5,0.34,unpaved,awaiting_rescue,2026-07-04T04:46:03.410948+00:00,"brick masonry structure fully down, cantilever pattern. Neighbors report 5 residents missing. Strong smell of gas nearby."
S0048,Sagaing Site 48,Chanayethazan,21.93266,96.022064,brick_masonry,v-shape,2,0.48,paved,awaiting_rescue,2026-07-04T07:39:03.410948+00:00,"Multi-story brick masonry building, v-shape collapse. Voices heard from rubble. 2 people believed inside. Dust and debris blocking main road."
S0049,Chanayethazan Site 49,Myitnge,21.595626,96.483101,reinforced_concrete,pancake,18,0.9,damaged,awaiting_rescue,2026-07-04T04:19:03.410948+00:00,"reinforced concrete structure fully down, pancake pattern. Neighbors report 18 residents missing. Strong smell of gas nearby."
S0050,Singu Site 50,Mahaaungmye,21.877983,96.128498,brick_masonry,pancake,7,0.72,unpaved,awaiting_rescue,2026-07-04T05:29:03.410948+00:00,"Residential brick masonry home, pancake collapse. Family of 7 not evacuated. Water pipe burst flooding the basement void."
S0051,Pyigyidagun Site 51,Mahaaungmye,21.686178,95.924356,brick_masonry,cantilever,5,0.37,unpaved,awaiting_rescue,2026-07-04T07:16:03.410948+00:00,"Residential brick masonry home, cantilever collapse. Family of 5 not evacuated. Water pipe burst flooding the basement void."
S0052,Tada-U Site 52,Patheingyi,22.030275,96.029315,timber,lean-to,6,0.52,unpaved,awaiting_rescue,2026-07-04T08:53:03.410948+00:00,"Partial lean-to collapse of timber apartment block. Around 6 trapped, tapping sounds confirmed on second floor slab."
S0053,Singu Site 53,Chanmyathazi,21.865601,96.123402,reinforced_concrete,lean-to,4,0.45,unpaved,awaiting_rescue,2026-07-04T07:09:03.410948+00:00,School building (reinforced concrete) collapsed in lean-to configuration. Estimated 4 children and staff unaccounted for. Access road cracked.
S0054,Aungmyethazan Site 54,Amarapura,22.00935,96.197318,reinforced_concrete,cantilever,4,0.31,unpaved,awaiting_rescue,2026-07-04T07:47:03.410948+00:00,"Market hall reinforced concrete, cantilever failure of roof. Vendors estimate 4 people under the structure. Aftershock risk, wall leaning."
S0055,Amarapura Site 55,Chanmyathazi,22.22696,95.728736,steel_frame,pancake,3,0.62,unpaved,awaiting_rescue,2026-07-04T07:18:03.410948+00:00,School building (steel frame) collapsed in pancake configuration. Estimated 3 children and staff unaccounted for. Access road cracked.
S0056,Pyigyidagun Site 56,Singu,21.927411,96.032919,reinforced_concrete,v-shape,12,0.64,damaged,awaiting_rescue,2026-07-04T08:28:03.410948+00:00,"Multi-story reinforced concrete building, v-shape collapse. Voices heard from rubble. 12 people believed inside. Dust and debris blocking main road."
S0057,Pyigyidagun Site 57,Aungmyethazan,21.97073,96.028728,brick_masonry,v-shape,3,0.42,paved,awaiting_rescue,2026-07-04T06:34:03.410948+00:00,"Residential brick masonry home, v-shape collapse. Family of 3 not evacuated. Water pipe burst flooding the basement void."
S0058,Pyigyidagun Site 58,Mahaaungmye,21.93048,96.101532,brick_masonry,cantilever,4,0.3,paved,awaiting_rescue,2026-07-04T07:56:03.410948+00:00,"Partial cantilever collapse of brick masonry apartment block. Around 4 trapped, tapping sounds confirmed on second floor slab."
S0059,Myitnge Site 59,Aungmyethazan,21.809244,96.300853,mixed,v-shape,1,0.46,unpaved,awaiting_rescue,2026-07-04T06:25:03.410948+00:00,"Market hall mixed, v-shape failure of roof. Vendors estimate 1 people under the structure. Aftershock risk, wall leaning."
S0060,Aungmyethazan Site 60,Singu,22.228499,95.91146,brick_masonry,lean-to,7,0.47,damaged,awaiting_rescue,2026-07-04T04:27:03.410948+00:00,"Market hall brick masonry, lean-to failure of roof. Vendors estimate 7 people under the structure. Aftershock risk, wall leaning."
S0061,Aungmyethazan Site 61,Sagaing,22.070586,96.309494,reinforced_concrete,pancake,2,0.58,paved,awaiting_rescue,2026-07-04T06:58:03.410948+00:00,"Multi-story reinforced concrete building, pancake collapse. Voices heard from rubble. 2 people believed inside. Dust and debris blocking main road."
S0062,Mahaaungmye Site 62,Tada-U,21.86482,96.087181,brick_masonry,v-shape,1,0.47,paved,awaiting_rescue,2026-07-04T06:39:03.410948+00:00,"brick masonry structure fully down, v-shape pattern. Neighbors report 1 residents missing. Strong smell of gas nearby."
S0063,Myitnge Site 63,Myitnge,22.045004,96.342579,reinforced_concrete,lean-to,3,0.43,damaged,awaiting_rescue,2026-07-04T09:05:03.410948+00:00,"Partial lean-to collapse of reinforced concrete apartment block. Around 3 trapped, tapping sounds confirmed on second floor slab."
S0064,Chanmyathazi Site 64,Chanayethazan,22.058283,95.995926,timber,v-shape,1,0.4,paved,awaiting_rescue,2026-07-04T06:06:03.410948+00:00,"Multi-story timber building, v-shape collapse. Voices heard from rubble. 1 people believed inside. Dust and debris blocking main road."
S0065,Kyaukse Site 65,Myitnge,21.999745,96.082105,reinforced_concrete,lean-to,1,0.44,unpaved,awaiting_rescue,2026-07-04T04:40:03.410948+00:00,"Partial lean-to collapse of reinforced concrete apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0066,Myitnge Site 66,Singu,22.052566,96.071696,brick_masonry,v-shape,14,0.7,paved,awaiting_rescue,2026-07-04T04:40:03.410948+00:00,"Partial v-shape collapse of brick masonry apartment block. Around 14 trapped, tapping sounds confirmed on second floor slab."
S0067,Myitnge Site 67,Chanayethazan,22.300307,96.036052,brick_masonry,lean-to,3,0.42,unpaved,awaiting_rescue,2026-07-04T08:40:03.410948+00:00,"Multi-story brick masonry building, lean-to collapse. Voices heard from rubble. 3 people believed inside. Dust and debris blocking main road."
S0068,Aungmyethazan Site 68,Myitnge,22.148963,96.179522,reinforced_concrete,pancake,6,0.71,damaged,awaiting_rescue,2026-07-04T09:04:03.410948+00:00,"Residential reinforced concrete home, pancake collapse. Family of 6 not evacuated. Water pipe burst flooding the basement void."
S0069,Amarapura Site 69,Patheingyi,22.014209,96.082242,timber,cantilever,1,0.29,damaged,awaiting_rescue,2026-07-04T08:15:03.410948+00:00,School building (timber) collapsed in cantilever configuration. Estimated 1 children and staff unaccounted for. Access road cracked.
S0070,Amarapura Site 70,Aungmyethazan,21.995586,96.17227,brick_masonry,v-shape,2,0.5,paved,awaiting_rescue,2026-07-04T08:45:03.410948+00:00,"Multi-story brick masonry building, v-shape collapse. Voices heard from rubble. 2 people believed inside. Dust and debris blocking main road."
S0071,Amarapura Site 71,Myitnge,22.060462,96.066822,brick_masonry,cantilever,6,0.34,paved,awaiting_rescue,2026-07-04T07:35:03.410948+00:00,"Market hall brick masonry, cantilever failure of roof. Vendors estimate 6 people under the structure. Aftershock risk, wall leaning."
S0072,Myitnge Site 72,Pyigyidagun,22.060483,96.31577,reinforced_concrete,lean-to,15,0.63,paved,awaiting_rescue,2026-07-04T08:12:03.410948+00:00,"Residential reinforced concrete home, lean-to collapse. Family of 15 not evacuated. Water pipe burst flooding the basement void."
S0073,Sagaing Site 73,Singu,21.805354,95.665102,brick_masonry,pancake,11,0.75,unpaved,awaiting_rescue,2026-07-04T05:04:03.410948+00:00,"brick masonry structure fully down, pancake pattern. Neighbors report 11 residents missing. Strong smell of gas nearby."
S0074,Singu Site 74,Chanmyathazi,22.003213,96.069452,brick_masonry,lean-to,3,0.4,damaged,awaiting_rescue,2026-07-04T05:41:03.410948+00:00,"Market hall brick masonry, lean-to failure of roof. Vendors estimate 3 people under the structure. Aftershock risk, wall leaning."
S0075,Myitnge Site 75,Kyaukse,21.777379,96.341939,brick_masonry,cantilever,4,0.35,unpaved,awaiting_rescue,2026-07-04T06:28:03.410948+00:00,"Market hall brick masonry, cantilever failure of roof. Vendors estimate 4 people under the structure. Aftershock risk, wall leaning."
S0076,Pyigyidagun Site 76,Myitnge,21.882821,96.09807,brick_masonry,v-shape,4,0.49,damaged,awaiting_rescue,2026-07-04T06:48:03.410948+00:00,"Residential brick masonry home, v-shape collapse. Family of 4 not evacuated. Water pipe burst flooding the basement void."
S0077,Chanmyathazi Site 77,Tada-U,22.035776,96.068356,brick_masonry,lean-to,14,0.61,paved,awaiting_rescue,2026-07-04T05:21:03.410948+00:00,"Multi-story brick masonry building, lean-to collapse. Voices heard from rubble. 14 people believed inside. Dust and debris blocking main road."
S0078,Chanmyathazi Site 78,Mahaaungmye,21.822579,95.740682,steel_frame,pancake,14,0.81,unpaved,awaiting_rescue,2026-07-04T05:17:03.410948+00:00,"Residential steel frame home, pancake collapse. Family of 14 not evacuated. Water pipe burst flooding the basement void."
S0079,Kyaukse Site 79,Singu,22.060249,96.051567,timber,v-shape,11,0.65,paved,awaiting_rescue,2026-07-04T08:37:03.410948+00:00,"Partial v-shape collapse of timber apartment block. Around 11 trapped, tapping sounds confirmed on second floor slab."
S0080,Mahaaungmye Site 80,Kyaukse,21.949028,96.124859,brick_masonry,pancake,6,0.65,unpaved,awaiting_rescue,2026-07-04T06:00:03.410948+00:00,School building (brick masonry) collapsed in pancake configuration. Estimated 6 children and staff unaccounted for. Access road cracked.
S0081,Pyigyidagun Site 81,Tada-U,21.634887,95.798224,reinforced_concrete,pancake,2,0.54,unpaved,awaiting_rescue,2026-07-04T07:07:03.410948+00:00,"reinforced concrete structure fully down, pancake pattern. Neighbors report 2 residents missing. Strong smell of gas nearby."
S0082,Pyigyidagun Site 82,Sagaing,21.998108,96.014716,reinforced_concrete,v-shape,2,0.47,damaged,awaiting_rescue,2026-07-04T08:18:03.410948+00:00,"reinforced concrete structure fully down, v-shape pattern. Neighbors report 2 residents missing. Strong smell of gas nearby."
S0083,Myitnge Site 83,Aungmyethazan,21.950058,96.127889,steel_frame,lean-to,2,0.43,paved,awaiting_rescue,2026-07-04T04:41:03.410948+00:00,"Partial lean-to collapse of steel frame apartment block. Around 2 trapped, tapping sounds confirmed on second floor slab."
S0084,Myitnge Site 84,Aungmyethazan,21.942434,96.031,steel_frame,pancake,2,0.58,paved,awaiting_rescue,2026-07-04T06:05:03.410948+00:00,"Partial pancake collapse of steel frame apartment block. Around 2 trapped, tapping sounds confirmed on second floor slab."
S0085,Sagaing Site 85,Aungmyethazan,21.792771,96.505791,timber,lean-to,5,0.49,damaged,awaiting_rescue,2026-07-04T04:29:03.410948+00:00,"Residential timber home, lean-to collapse. Family of 5 not evacuated. Water pipe burst flooding the basement void."
S0086,Kyaukse Site 86,Chanayethazan,21.739977,96.352336,reinforced_concrete,pancake,1,0.59,unpaved,awaiting_rescue,2026-07-04T05:14:03.410948+00:00,"Residential reinforced concrete home, pancake collapse. Family of 1 not evacuated. Water pipe burst flooding the basement void."
S0087,Amarapura Site 87,Tada-U,21.946005,96.1076,timber,pancake,2,0.61,paved,awaiting_rescue,2026-07-04T05:33:03.410948+00:00,"Market hall timber, pancake failure of roof. Vendors estimate 2 people under the structure. Aftershock risk, wall leaning."
S0088,Mahaaungmye Site 88,Chanmyathazi,21.909617,96.01111,mixed,cantilever,20,0.47,unpaved,awaiting_rescue,2026-07-04T06:57:03.410948+00:00,School building (mixed) collapsed in cantilever configuration. Estimated 20 children and staff unaccounted for. Access road cracked.
S0089,Aungmyethazan Site 89,Tada-U,21.736325,96.242826,timber,lean-to,11,0.57,damaged,awaiting_rescue,2026-07-04T04:50:03.410948+00:00,"Multi-story timber building, lean-to collapse. Voices heard from rubble. 11 people believed inside. Dust and debris blocking main road."
S0090,Tada-U Site 90,Amarapura,21.930386,96.146993,reinforced_concrete,lean-to,6,0.47,paved,awaiting_rescue,2026-07-04T06:03:03.410948+00:00,"Market hall reinforced concrete, lean-to failure of roof. Vendors estimate 6 people under the structure. Aftershock risk, wall leaning."
S0091,Aungmyethazan Site 91,Sagaing,21.732882,95.708295,steel_frame,cantilever,2,0.28,paved,awaiting_rescue,2026-07-04T05:15:03.410948+00:00,"Multi-story steel frame building, cantilever collapse. Voices heard from rubble. 2 people believed inside. Dust and debris blocking main road."
S0092,Singu Site 92,Chanmyathazi,21.901459,96.097829,brick_masonry,lean-to,17,0.69,paved,awaiting_rescue,2026-07-04T08:40:03.410948+00:00,"Residential brick masonry home, lean-to collapse. Family of 17 not evacuated. Water pipe burst flooding the basement void."
S0093,Amarapura Site 93,Mahaaungmye,22.084412,96.380027,brick_masonry,cantilever,1,0.3,unpaved,awaiting_rescue,2026-07-04T05:55:03.410948+00:00,"brick masonry structure fully down, cantilever pattern. Neighbors report 1 residents missing. Strong smell of gas nearby."
S0094,Kyaukse Site 94,Kyaukse,21.851234,96.439315,brick_masonry,pancake,1,0.61,paved,awaiting_rescue,2026-07-04T07:56:03.410948+00:00,"brick masonry structure fully down, pancake pattern. Neighbors report 1 residents missing. Strong smell of gas nearby."
S0095,Pyigyidagun Site 95,Amarapura,21.85531,96.155777,reinforced_concrete,pancake,4,0.59,paved,awaiting_rescue,2026-07-04T08:47:03.410948+00:00,"reinforced concrete structure fully down, pancake pattern. Neighbors report 4 residents missing. Strong smell of gas nearby."
S0096,Chanmyathazi Site 96,Chanayethazan,22.192835,96.172781,reinforced_concrete,cantilever,26,0.56,paved,awaiting_rescue,2026-07-04T05:33:03.410948+00:00,"Multi-story reinforced concrete building, cantilever collapse. Voices heard from rubble. 26 people believed inside. Dust and debris blocking main road."
S0097,Sagaing Site 97,Amarapura,22.021164,96.109757,reinforced_concrete,lean-to,1,0.4,unpaved,awaiting_rescue,2026-07-04T05:02:03.410948+00:00,School building (reinforced concrete) collapsed in lean-to configuration. Estimated 1 children and staff unaccounted for. Access road cracked.
S0098,Chanayethazan Site 98,Chanayethazan,21.874271,96.089992,mixed,pancake,9,0.78,paved,awaiting_rescue,2026-07-04T08:30:03.410948+00:00,"Residential mixed home, pancake collapse. Family of 9 not evacuated. Water pipe burst flooding the basement void."
S0099,Chanmyathazi Site 99,Aungmyethazan,22.240393,96.024822,reinforced_concrete,v-shape,3,0.51,unpaved,awaiting_rescue,2026-07-04T06:48:03.410948+00:00,"Multi-story reinforced concrete building, v-shape collapse. Voices heard from rubble. 3 people believed inside. Dust and debris blocking main road."
