site_id,site_name,township,lat,lon,building_type,collapse_pattern,est_trapped,priority_score,road_type,status,reported_at,scout_notes
S0100,Mahaaungmye Site 100,Kyaukse,21.977257,96.138424,brick_masonry,v-shape,2,0.46,paved,awaiting_rescue,2026-07-04T07:44:03.410948+00:00,"Residential brick masonry home, v-shape collapse. Family of 2 not evacuated. Water pipe burst flooding the basement void."
S0101,Mahaaungmye Site 101,Amarapura,22.016954,96.140443,reinforced_concrete,lean-to,1,0.39,paved,awaiting_rescue,2026-07-04T07:56:03.410948+00:00,"Residential reinforced concrete home, lean-to collapse. Family of 1 not evacuated. Water pipe burst flooding the basement void."
S0102,Singu Site 102,Amarapura,21.994499,96.059876,reinforced_concrete,cantilever,1,0.31,paved,awaiting_rescue,2026-07-04T04:51:03.410948+00:00,"Residential reinforced concrete home, cantilever collapse. Family of 1 not evacuated. Water pipe burst flooding the basement void."
S0103,Chanayethazan Site 103,Aungmyethazan,22.004506,96.164484,brick_masonry,lean-to,1,0.39,damaged,awaiting_rescue,2026-07-04T07:40:03.410948+00:00,"Residential brick masonry home, lean-to collapse. Family of 1 not evacuated. Water pipe burst flooding the basement void."
S0104,Myitnge Site 104,Pyigyidagun,21.926723,96.107215,reinforced_concrete,v-shape,1,0.4,paved,awaiting_rescue,2026-07-04T08:48:03.410948+00:00,"Partial v-shape collapse of reinforced concrete apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0105,Singu Site 105,Aungmyethazan,22.238656,96.502829,steel_frame,v-shape,6,0.48,paved,awaiting_rescue,2026-07-04T06:20:03.410948+00:00,"Partial v-shape collapse of steel frame apartment block. Around 6 trapped, tapping sounds confirmed on second floor slab."
S0106,Pyigyidagun Site 106,Patheingyi,21.838008,95.811337,reinforced_concrete,v-shape,1,0.46,paved,awaiting_rescue,2026-07-04T04:19:03.410948+00:00,"Market hall reinforced concrete, v-shape failure of roof. Vendors estimate 1 people under the structure. Aftershock risk, wall leaning."
S0107,Chanayethazan Site 107,Kyaukse,21.924399,96.058889,timber,v-shape,5,0.47,paved,awaiting_rescue,2026-07-04T04:30:03.410948+00:00,"Market hall timber, v-shape failure of roof. Vendors estimate 5 people under the structure. Aftershock risk, wall leaning."
S0108,Kyaukse Site 108,Kyaukse,21.9465,96.071434,brick_masonry,lean-to,1,0.41,paved,awaiting_rescue,2026-07-04T07:00:03.410948+00:00,"Partial lean-to collapse of brick masonry apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0109,Aungmyethazan Site 109,Amarapura,21.964624,96.044559,reinforced_concrete,cantilever,1,0.25,unpaved,awaiting_rescue,2026-07-04T05:52:03.410948+00:00,"Partial cantilever collapse of reinforced concrete apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0110,Chanayethazan Site 110,Patheingyi,21.958235,96.072978,reinforced_concrete,lean-to,1,0.41,paved,awaiting_rescue,2026-07-04T07:05:03.410948+00:00,"Residential reinforced concrete home, lean-to collapse. Family of 1 not evacuated. Water pipe burst flooding the basement void."
S0111,Chanmyathazi Site 111,Myitnge,22.049862,96.173287,brick_masonry,v-shape,7,0.53,paved,awaiting_rescue,2026-07-04T05:02:03.410948+00:00,"Partial v-shape collapse of brick masonry apartment block. Around 7 trapped, tapping sounds confirmed on second floor slab."
S0112,Singu Site 112,Amarapura,21.999797,96.056982,brick_masonry,pancake,3,0.6,paved,awaiting_rescue,2026-07-04T04:44:03.410948+00:00,"Partial pancake collapse of brick masonry apartment block. Around 3 trapped, tapping sounds confirmed on second floor slab."
S0113,Chanmyathazi Site 113,Pyigyidagun,22.01915,95.990612,brick_masonry,lean-to,1,0.43,unpaved,awaiting_rescue,2026-07-04T07:03:03.410948+00:00,"Residential brick masonry home, lean-to collapse. Family of 1 not evacuated. Water pipe burst flooding the basement void."
S0114,Myitnge Site 114,Sagaing,21.906036,96.013192,reinforced_concrete,v-shape,1,0.48,paved,awaiting_rescue,2026-07-04T08:16:03.410948+00:00,"Market hall reinforced concrete, v-shape failure of roof. Vendors estimate 1 people under the structure. Aftershock risk, wall leaning."
S0115,Kyaukse Site 115,Aungmyethazan,22.041405,96.122344,mixed,lean-to,21,0.71,paved,awaiting_rescue,2026-07-04T07:49:03.410948+00:00,School building (mixed) collapsed in lean-to configuration. Estimated 21 children and staff unaccounted for. Access road cracked.
S0116,Myitnge Site 116,Myitnge,22.032924,95.960017,reinforced_concrete,lean-to,1,0.39,paved,awaiting_rescue,2026-07-04T06:30:03.410948+00:00,"Multi-story reinforced concrete building, lean-to collapse. Voices heard from rubble. 1 people believed inside. Dust and debris blocking main road."
S0117,Tada-U Site 117,Chanmyathazi,21.950738,96.101728,timber,cantilever,3,0.33,paved,awaiting_rescue,2026-07-04T05:40:03.410948+00:00,School building (timber) collapsed in cantilever configuration. Estimated 3 children and staff unaccounted for. Access road cracked.
S0118,Sagaing Site 118,Tada-U,21.918684,96.360213,steel_frame,cantilever,1,0.3,unpaved,awaiting_rescue,2026-07-04T04:24:03.410948+00:00,School building (steel frame) collapsed in cantilever configuration. Estimated 1 children and staff unaccounted for. Access road cracked.
S0119,Tada-U Site 119,Kyaukse,21.885015,96.059539,reinforced_concrete,lean-to,2,0.43,paved,awaiting_rescue,2026-07-04T06:55:03.410948+00:00,"Multi-story reinforced concrete building, lean-to collapse. Voices heard from rubble. 2 people believed inside. Dust and debris blocking main road."
S0120,Kyaukse Site 120,Singu,21.905177,96.170836,mixed,v-shape,1,0.4,damaged,awaiting_rescue,2026-07-04T05:16:03.410948+00:00,"Partial v-shape collapse of mixed apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0121,Kyaukse Site 121,Tada-U,21.878573,96.137652,reinforced_concrete,v-shape,6,0.51,unpaved,awaiting_rescue,2026-07-04T05:09:03.410948+00:00,"Residential reinforced concrete home, v-shape collapse. Family of 6 not evacuated. Water pipe burst flooding the basement void."
S0122,Chanmyathazi Site 122,Mahaaungmye,21.995655,96.091073,reinforced_concrete,lean-to,18,0.67,paved,awaiting_rescue,2026-07-04T08:12:03.410948+00:00,"reinforced concrete structure fully down, lean-to pattern. Neighbors report 18 residents missing. Strong smell of gas nearby."
S0123,Chanmyathazi Site 123,Chanmyathazi,22.021096,96.090888,brick_masonry,v-shape,4,0.51,unpaved,awaiting_rescue,2026-07-04T05:11:03.410948+00:00,"brick masonry structure fully down, v-shape pattern. Neighbors report 4 residents missing. Strong smell of gas nearby."
S0124,Aungmyethazan Site 124,Singu,22.178609,96.358537,reinforced_concrete,lean-to,3,0.46,damaged,awaiting_rescue,2026-07-04T06:05:03.410948+00:00,"Market hall reinforced concrete, lean-to failure of roof. Vendors estimate 3 people under the structure. Aftershock risk, wall leaning."
S0125,Aungmyethazan Site 125,Patheingyi,21.743127,95.861697,mixed,v-shape,14,0.63,damaged,awaiting_rescue,2026-07-04T08:56:03.410948+00:00,School building (mixed) collapsed in v-shape configuration. Estimated 14 children and staff unaccounted for. Access road cracked.
S0126,Mahaaungmye Site 126,Singu,21.941213,96.010532,reinforced_concrete,v-shape,12,0.59,damaged,awaiting_rescue,2026-07-04T08:10:03.410948+00:00,"Market hall reinforced concrete, v-shape failure of roof. Vendors estimate 12 people under the structure. Aftershock risk, wall leaning."
S0127,Sagaing Site 127,Amarapura,22.243529,95.901709,timber,lean-to,14,0.58,paved,awaiting_rescue,2026-07-04T07:47:03.410948+00:00,"timber structure fully down, lean-to pattern. Neighbors report 14 residents missing. Strong smell of gas nearby."
S0128,Kyaukse Site 128,Amarapura,21.889797,95.998824,brick_masonry,lean-to,1,0.38,damaged,awaiting_rescue,2026-07-04T06:47:03.410948+00:00,"Residential brick masonry home, lean-to collapse. Family of 1 not evacuated. Water pipe burst flooding the basement void."
S0129,Chanayethazan Site 129,Aungmyethazan,21.664962,95.903293,steel_frame,v-shape,1,0.46,unpaved,awaiting_rescue,2026-07-04T07:53:03.410948+00:00,"Multi-story steel frame building, v-shape collapse. Voices heard from rubble. 1 people believed inside. Dust and debris blocking main road."
S0130,Kyaukse Site 130,Myitnge,21.88302,96.191448,brick_masonry,lean-to,8,0.49,paved,awaiting_rescue,2026-07-04T05:06:03.410948+00:00,School building (brick masonry) collapsed in lean-to configuration. Estimated 8 children and staff unaccounted for. Access road cracked.
S0131,Myitnge Site 131,Amarapura,21.874661,96.183293,brick_masonry,pancake,4,0.6,paved,awaiting_rescue,2026-07-04T05:17:03.410948+00:00,"Multi-story brick masonry building, pancake collapse. Voices heard from rubble. 4 people believed inside. Dust and debris blocking main road."
S0132,Tada-U Site 132,Chanayethazan,21.940761,96.127315,reinforced_concrete,cantilever,1,0.28,unpaved,awaiting_rescue,2026-07-04T08:23:03.410948+00:00,"Market hall reinforced concrete, cantilever failure of roof. Vendors estimate 1 people under the structure. Aftershock risk, wall leaning."
S0133,Kyaukse Site 133,Mahaaungmye,21.952343,96.120642,mixed,lean-to,1,0.44,paved,awaiting_rescue,2026-07-04T07:00:03.410948+00:00,"Residential mixed home, lean-to collapse. Family of 1 not evacuated. Water pipe burst flooding the basement void."
S0134,Kyaukse Site 134,Chanmyathazi,22.149492,95.943083,reinforced_concrete,lean-to,10,0.52,damaged,awaiting_rescue,2026-07-04T08:01:03.410948+00:00,School building (reinforced concrete) collapsed in lean-to configuration. Estimated 10 children and staff unaccounted for. Access road cracked.
S0135,Tada-U Site 135,Patheingyi,21.604557,96.329894,brick_masonry,lean-to,1,0.38,unpaved,awaiting_rescue,2026-07-04T04:25:03.410948+00:00,"Partial lean-to collapse of brick masonry apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0136,Patheingyi Site 136,Patheingyi,21.99369,95.874029,timber,pancake,2,0.61,unpaved,awaiting_rescue,2026-07-04T06:53:03.410948+00:00,"Partial pancake collapse of timber apartment block. Around 2 trapped, tapping sounds confirmed on second floor slab."
S0137,Singu Site 137,Patheingyi,22.278776,95.990272,mixed,lean-to,4,0.5,unpaved,awaiting_rescue,2026-07-04T08:29:03.410948+00:00,"Multi-story mixed building, lean-to collapse. Voices heard from rubble. 4 people believed inside. Dust and debris blocking main road."
S0138,Patheingyi Site 138,Chanmyathazi,21.980952,96.164041,brick_masonry,lean-to,1,0.42,paved,awaiting_rescue,2026-07-04T06:40:03.410948+00:00,"Residential brick masonry home, lean-to collapse. Family of 1 not evacuated. Water pipe burst flooding the basement void."
S0139,Patheingyi Site 139,Amarapura,21.926702,95.982702,steel_frame,lean-to,37,0.77,paved,awaiting_rescue,2026-07-04T04:33:03.410948+00:00,"Residential steel frame home, lean-to collapse. Family of 37 not evacuated. Water pipe burst flooding the basement void."
S0140,Amarapura Site 140,Amarapura,22.012832,96.01005,reinforced_concrete,cantilever,6,0.33,paved,awaiting_rescue,2026-07-04T05:08:03.410948+00:00,"Residential reinforced concrete home, cantilever collapse. Family of 6 not evacuated. Water pipe burst flooding the basement void."
S0141,Patheingyi Site 141,Amarapura,21.973339,96.113534,timber,cantilever,2,0.32,paved,awaiting_rescue,2026-07-04T08:57:03.410948+00:00,"Partial cantilever collapse of timber apartment block. Around 2 trapped, tapping sounds confirmed on second floor slab."
S0142,Sagaing Site 142,Pyigyidagun,21.904662,95.99923,timber,lean-to,2,0.43,unpaved,awaiting_rescue,2026-07-04T06:18:03.410948+00:00,"Residential timber home, lean-to collapse. Family of 2 not evacuated. Water pipe burst flooding the basement void."
S0143,Amarapura Site 143,Kyaukse,21.784943,96.452203,brick_masonry,pancake,11,0.78,damaged,awaiting_rescue,2026-07-04T07:51:03.410948+00:00,"Residential brick masonry home, pancake collapse. Family of 11 not evacuated. Water pipe burst flooding the basement void."
S0144,Pyigyidagun Site 144,Mahaaungmye,21.864733,96.098904,steel_frame,cantilever,7,0.39,unpaved,awaiting_rescue,2026-07-04T05:33:03.410948+00:00,"Market hall steel frame, cantilever failure of roof. Vendors estimate 7 people under the structure. Aftershock risk, wall leaning."
S0145,Mahaaungmye Site 145,Aungmyethazan,22.19561,95.859576,brick_masonry,lean-to,5,0.47,paved,awaiting_rescue,2026-07-04T08:46:03.410948+00:00,"Multi-story brick masonry building, lean-to collapse. Voices heard from rubble. 5 people believed inside. Dust and debris blocking main road."
S0146,Sagaing Site 146,Kyaukse,22.005705,96.08414,brick_masonry,lean-to,5,0.43,unpaved,awaiting_rescue,2026-07-04T06:46:03.410948+00:00,School building (brick masonry) collapsed in lean-to configuration. Estimated 5 children and staff unaccounted for. Access road cracked.
S0147,Mahaaungmye Site 147,Tada-U,21.87844,96.165602,brick_masonry,v-shape,8,0.52,damaged,awaiting_rescue,2026-07-04T08:21:03.410948+00:00,"Multi-story brick masonry building, v-shape collapse. Voices heard from rubble. 8 people believed inside. Dust and debris blocking main road."
S0148,Tada-U Site 148,Aungmyethazan,21.886293,96.04787,timber,lean-to,16,0.69,paved,awaiting_rescue,2026-07-04T04:44:03.410948+00:00,"Residential timber home, lean-to collapse. Family of 16 not evacuated. Water pipe burst flooding the basement void."
S0149,Chanayethazan Site 149,Chanayethazan,21.916167,96.096883,brick_masonry,pancake,17,0.89,paved,awaiting_rescue,2026-07-04T09:13:03.410948+00:00,"Market hall brick masonry, pancake failure of roof. Vendors estimate 17 people under the structure. Aftershock risk, wall leaning."
S0150,Tada-U Site 150,Aungmyethazan,22.055783,96.15211,reinforced_concrete,pancake,5,0.66,paved,awaiting_rescue,2026-07-04T04:19:03.410948+00:00,"Residential reinforced concrete home, pancake collapse. Family of 5 not evacuated. Water pipe burst flooding the basement void."
S0151,Sagaing Site 151,Pyigyidagun,21.91601,96.029787,steel_frame,lean-to,3,0.46,paved,awaiting_rescue,2026-07-04T05:24:03.410948+00:00,School building (steel frame) collapsed in lean-to configuration. Estimated 3 children and staff unaccounted for. Access road cracked.
S0152,Amarapura Site 152,Pyigyidagun,21.881755,96.173142,brick_masonry,cantilever,2,0.28,paved,awaiting_rescue,2026-07-04T07:13:03.410948+00:00,"Multi-story brick masonry building, cantilever collapse. Voices heard from rubble. 2 people believed inside. Dust and debris blocking main road."
S0153,Amarapura Site 153,Myitnge,21.908524,96.030494,reinforced_concrete,lean-to,2,0.43,damaged,awaiting_rescue,2026-07-04T06:11:03.410948+00:00,"reinforced concrete structure fully down, lean-to pattern. Neighbors report 2 residents missing. Strong smell of gas nearby."
S0154,Sagaing Site 154,Pyigyidagun,21.707314,95.792101,mixed,lean-to,12,0.58,damaged,awaiting_rescue,2026-07-04T04:50:03.410948+00:00,"Market hall mixed, lean-to failure of roof. Vendors estimate 12 people under the structure. Aftershock risk, wall leaning."
S0155,Patheingyi Site 155,Chanmyathazi,21.926994,95.984605,brick_masonry,cantilever,6,0.33,paved,awaiting_rescue,2026-07-04T08:38:03.410948+00:00,"Multi-story brick masonry building, cantilever collapse. Voices heard from rubble. 6 people believed inside. Dust and debris blocking main road."
S0156,Tada-U Site 156,Sagaing,22.143266,96.319141,brick_masonry,lean-to,5,0.44,unpaved,awaiting_rescue,2026-07-04T08:47:03.410948+00:00,School building (brick masonry) collapsed in lean-to configuration. Estimated 5 children and staff unaccounted for. Access road cracked.
S0157,Chanmyathazi Site 157,Pyigyidagun,21.780195,96.515509,timber,pancake,22,1.0,unpaved,awaiting_rescue,2026-07-04T06:57:03.410948+00:00,"Partial pancake collapse of timber apartment block. Around 22 trapped, tapping sounds confirmed on second floor slab."
S0158,Chanmyathazi Site 158,Amarapura,21.937478,95.982214,reinforced_concrete,v-shape,9,0.58,unpaved,awaiting_rescue,2026-07-04T05:20:03.410948+00:00,"Market hall reinforced concrete, v-shape failure of roof. Vendors estimate 9 people under the structure. Aftershock risk, wall leaning."
S0159,Myitnge Site 159,Aungmyethazan,21.811662,95.995774,brick_masonry,cantilever,5,0.33,unpaved,awaiting_rescue,2026-07-04T08:24:03.410948+00:00,"Residential brick masonry home, cantilever collapse. Family of 5 not evacuated. Water pipe burst flooding the basement void."
S0160,Kyaukse Site 160,Myitnge,21.854289,96.049865,reinforced_concrete,lean-to,2,0.46,unpaved,awaiting_rescue,2026-07-04T04:17:03.410948+00:00,"Partial lean-to collapse of reinforced concrete apartment block. Around 2 trapped, tapping sounds confirmed on second floor slab."
S0161,Chanayethazan Site 161,Myitnge,22.00667,96.108518,reinforced_concrete,v-shape,5,0.54,unpaved,awaiting_rescue,2026-07-04T05:19:03.410948+00:00,"reinforced concrete structure fully down, v-shape pattern. Neighbors report 5 residents missing. Strong smell of gas nearby."
S0162,Singu Site 162,Chanayethazan,21.642499,95.669691,brick_masonry,pancake,7,0.69,damaged,awaiting_rescue,2026-07-04T08:05:03.410948+00:00,"Residential brick masonry home, pancake collapse. Family of 7 not evacuated. Water pipe burst flooding the basement void."
S0163,Tada-U Site 163,Amarapura,21.973949,96.142183,mixed,lean-to,2,0.47,damaged,awaiting_rescue,2026-07-04T07:59:03.410948+00:00,"Partial lean-to collapse of mixed apartment block. Around 2 trapped, tapping sounds confirmed on second floor slab."
S0164,Aungmyethazan Site 164,Aungmyethazan,22.038293,96.131122,steel_frame,lean-to,3,0.48,unpaved,awaiting_rescue,2026-07-04T06:26:03.410948+00:00,"steel frame structure fully down, lean-to pattern. Neighbors report 3 residents missing. Strong smell of gas nearby."
S0165,Tada-U Site 165,Patheingyi,22.113049,96.079512,brick_masonry,v-shape,16,0.72,paved,awaiting_rescue,2026-07-04T06:31:03.410948+00:00,"Residential brick masonry home, v-shape collapse. Family of 16 not evacuated. Water pipe burst flooding the basement void."
S0166,Kyaukse Site 166,Aungmyethazan,21.873286,95.954082,timber,pancake,1,0.61,unpaved,awaiting_rescue,2026-07-04T04:44:03.410948+00:00,School building (timber) collapsed in pancake configuration. Estimated 1 children and staff unaccounted for. Access road cracked.
S0167,Kyaukse Site 167,Tada-U,21.726897,96.375021,reinforced_concrete,v-shape,1,0.4,unpaved,awaiting_rescue,2026-07-04T09:04:03.410948+00:00,"Multi-story reinforced concrete building, v-shape collapse. Voices heard from rubble. 1 people believed inside. Dust and debris blocking main road."
S0168,Patheingyi Site 168,Kyaukse,21.901035,95.99615,brick_masonry,lean-to,6,0.45,damaged,awaiting_rescue,2026-07-04T08:45:03.410948+00:00,"brick masonry structure fully down, lean-to pattern. Neighbors report 6 residents missing. Strong smell of gas nearby."
S0169,Tada-U Site 169,Singu,22.265611,96.069439,reinforced_concrete,cantilever,2,0.31,unpaved,awaiting_rescue,2026-07-04T04:49:03.410948+00:00,"reinforced concrete structure fully down, cantilever pattern. Neighbors report 2 residents missing. Strong smell of gas nearby."
S0170,Singu Site 170,Aungmyethazan,22.312856,96.44937,reinforced_concrete,cantilever,1,0.32,damaged,awaiting_rescue,2026-07-04T07:27:03.410948+00:00,"reinforced concrete structure fully down, cantilever pattern. Neighbors report 1 residents missing. Strong smell of gas nearby."
S0171,Tada-U Site 171,Sagaing,21.560909,96.148352,reinforced_concrete,cantilever,2,0.34,unpaved,awaiting_rescue,2026-07-04T08:42:03.410948+00:00,"reinforced concrete structure fully down, cantilever pattern. Neighbors report 2 residents missing. Strong smell of gas nearby."
S0172,Kyaukse Site 172,Pyigyidagun,22.025571,96.049736,timber,v-shape,7,0.49,unpaved,awaiting_rescue,2026-07-04T06:56:03.410948+00:00,"Market hall timber, v-shape failure of roof. Vendors estimate 7 people under the structure. Aftershock risk, wall leaning."
S0173,Amarapura Site 173,Pyigyidagun,22.035805,96.181409,steel_frame,lean-to,1,0.42,damaged,awaiting_rescue,2026-07-04T05:38:03.410948+00:00,School building (steel frame) collapsed in lean-to configuration. Estimated 1 children and staff unaccounted for. Access road cracked.
S0174,Pyigyidagun Site 174,Chanayethazan,21.933627,96.076717,reinforced_concrete,lean-to,5,0.48,unpaved,awaiting_rescue,2026-07-04T06:17:03.410948+00:00,"Residential reinforced concrete home, lean-to collapse. Family of 5 not evacuated. Water pipe burst flooding the basement void."
S0175,Amarapura Site 175,Myitnge,21.951318,96.009987,timber,cantilever,13,0.44,unpaved,awaiting_rescue,2026-07-04T05:04:03.410948+00:00,"Partial cantilever collapse of timber apartment block. Around 13 trapped, tapping sounds confirmed on second floor slab."
S0176,Pyigyidagun Site 176,Pyigyidagun,22.057689,96.084027,brick_masonry,cantilever,2,0.31,unpaved,awaiting_rescue,2026-07-04T08:05:03.410948+00:00,"Residential brick masonry home, cantilever collapse. Family of 2 not evacuated. Water pipe burst flooding the basement void."
S0177,Tada-U Site 177,Pyigyidagun,21.979517,96.155911,brick_masonry,lean-to,2,0.46,paved,awaiting_rescue,2026-07-04T05:01:03.410948+00:00,"Market hall brick masonry, lean-to failure of roof. Vendors estimate 2 people under the structure. Aftershock risk, wall leaning."
S0178,Chanayethazan Site 178,Sagaing,21.883092,96.049139,brick_masonry,pancake,1,0.57,damaged,awaiting_rescue,2026-07-04T04:50:03.410948+00:00,School building (brick masonry) collapsed in pancake configuration. Estimated 1 children and staff unaccounted for. Access road cracked.
S0179,Pyigyidagun Site 179,Myitnge,21.940513,96.103959,brick_masonry,v-shape,2,0.41,unpaved,awaiting_rescue,2026-07-04T06:14:03.410948+00:00,"Residential brick masonry home, v-shape collapse. Family of 2 not evacuated. Water pipe burst flooding the basement void."
S0180,Chanmyathazi Site 180,Chanmyathazi,21.942302,96.135688,brick_masonry,pancake,13,0.88,paved,awaiting_rescue,2026-07-04T08:05:03.410948+00:00,School building (brick masonry) collapsed in pancake configuration. Estimated 13 children and staff unaccounted for. Access road cracked.
S0181,Kyaukse Site 181,Tada-U,22.346638,96.216285,brick_masonry,cantilever,2,0.33,unpaved,awaiting_rescue,2026-07-04T07:17:03.410948+00:00,"Residential brick masonry home, cantilever collapse. Family of 2 not evacuated. Water pipe burst flooding the basement void."
S0182,Sagaing Site 182,Kyaukse,22.0367,96.000436,mixed,lean-to,1,0.45,unpaved,awaiting_rescue,2026-07-04T04:05:03.410948+00:00,"Partial lean-to collapse of mixed apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0183,Patheingyi Site 183,Myitnge,21.897282,95.983848,reinforced_concrete,lean-to,1,0.38,paved,awaiting_rescue,2026-07-04T05:01:03.410948+00:00,"Residential reinforced concrete home, lean-to collapse. Family of 1 not evacuated. Water pipe burst flooding the basement void."
S0184,Patheingyi Site 184,Sagaing,22.269954,95.666821,reinforced_concrete,pancake,1,0.57,unpaved,awaiting_rescue,2026-07-04T04:28:03.410948+00:00,"Multi-story reinforced concrete building, pancake collapse. Voices heard from rubble. 1 people believed inside. Dust and debris blocking main road."
S0185,Kyaukse Site 185,Amarapura,21.897669,96.173664,reinforced_concrete,lean-to,2,0.45,paved,awaiting_rescue,2026-07-04T08:58:03.410948+00:00,"Market hall reinforced concrete, lean-to failure of roof. Vendors estimate 2 people under the structure. Aftershock risk, wall leaning."
S0186,Kyaukse Site 186,Kyaukse,22.040153,96.20202,brick_masonry,lean-to,1,0.41,damaged,awaiting_rescue,2026-07-04T09:06:03.410948+00:00,"brick masonry structure fully down, lean-to pattern. Neighbors report 1 residents missing. Strong smell of gas nearby."
S0187,Patheingyi Site 187,Chanmyathazi,21.957853,96.198903,mixed,v-shape,9,0.56,paved,awaiting_rescue,2026-07-04T07:37:03.410948+00:00,"Partial v-shape collapse of mixed apartment block. Around 9 trapped, tapping sounds confirmed on second floor slab."
S0188,Tada-U Site 188,Tada-U,21.937329,96.393669,brick_masonry,v-shape,9,0.62,unpaved,awaiting_rescue,2026-07-04T08:51:03.410948+00:00,School building (brick masonry) collapsed in v-shape configuration. Estimated 9 children and staff unaccounted for. Access road cracked.
S0189,Kyaukse Site 189,Myitnge,21.903202,96.020129,brick_masonry,cantilever,11,0.35,paved,awaiting_rescue,2026-07-04T05:41:03.410948+00:00,School building (brick masonry) collapsed in cantilever configuration. Estimated 11 children and staff unaccounted for. Access road cracked.
S0190,Pyigyidagun Site 190,Pyigyidagun,22.039583,96.016601,timber,v-shape,4,0.49,paved,awaiting_rescue,2026-07-04T06:54:03.410948+00:00,"Multi-story timber building, v-shape collapse. Voices heard from rubble. 4 people believed inside. Dust and debris blocking main road."
S0191,Patheingyi Site 191,Sagaing,21.648516,96.524647,brick_masonry,pancake,5,0.62,unpaved,awaiting_rescue,2026-07-04T06:06:03.410948+00:00,"Partial pancake collapse of brick masonry apartment block. Around 5 trapped, tapping sounds confirmed on second floor slab."
S0192,Pyigyidagun Site 192,Amarapura,21.92837,96.033665,brick_masonry,lean-to,1,0.45,unpaved,awaiting_rescue,2026-07-04T08:04:03.410948+00:00,"Partial lean-to collapse of brick masonry apartment block. Around 1 trapped, tapping sounds confirmed on second floor slab."
S0193,Amarapura Site 193,Pyigyidagun,21.860576,96.173746,timber,pancake,4,0.64,paved,awaiting_rescue,2026-07-04T07:37:03.410948+00:00,"timber structure fully down, pancake pattern. Neighbors report 4 residents missing. Strong smell of gas nearby."
S0194,Amarapura Site 194,Chanmyathazi,22.030878,96.088938,timber,v-shape,1,0.47,paved,awaiting_rescue,2026-07-04T08:15:03.410948+00:00,"Residential timber home, v-shape collapse. Family of 1 not evacuated. Water pipe burst flooding the basement void."
S0195,Chanayethazan Site 195,Chanayethazan,21.968864,96.015644,steel_frame,cantilever,18,0.47,damaged,awaiting_rescue,2026-07-04T04:42:03.410948+00:00,"Residential steel frame home, cantilever collapse. Family of 18 not evacuated. Water pipe burst flooding the basement void."
S0196,Chanayethazan Site 196,Tada-U,22.032864,96.026661,timber,pancake,4,0.62,unpaved,awaiting_rescue,2026-07-04T08:11:03.410948+00:00,"Multi-story timber building, pancake collapse. Voices heard from rubble. 4 people believed inside. Dust and debris blocking main road."
S0197,Mahaaungmye Site 197,Mahaaungmye,21.853254,96.095939,reinforced_concrete,cantilever,1,0.31,unpaved,awaiting_rescue,2026-07-04T07:44:03.410948+00:00,"reinforced concrete structure fully down, cantilever pattern. Neighbors report 1 residents missing. Strong smell of gas nearby."
S0198,Singu Site 198,Pyigyidagun,21.902793,96.116948,reinforced_concrete,lean-to,9,0.49,paved,awaiting_rescue,2026-07-04T07:31:03.410948+00:00,"reinforced concrete structure fully down, lean-to pattern. Neighbors report 9 residents missing. Strong smell of gas nearby."
S0199,Kyaukse Site 199,Chanayethazan,22.029732,95.991597,mixed,v-shape,1,0.43,unpaved,awaiting_rescue,2026-07-04T07:17:03.410948+00:00,"Multi-story mixed building, v-shape collapse. Voices heard from rubble. 1 people believed inside. Dust and debris blocking main road."
